instance,nodes,solved,done_reason,makespan,lowerbound
J6045_5.RCP,44320,0,time_limit,135,60
J6045_6.RCP,46804,0,time_limit,184,80
J6045_7.RCP,47670,0,time_limit,148,74
J6045_8.RCP,37467,0,time_limit,159,79
J6045_9.RCP,47029,0,time_limit,153,78
J6046_1.RCP,40044,0,time_limit,93,78
J6046_10.RCP,39843,0,time_limit,103,79
J6046_2.RCP,44184,0,time_limit,85,78
J6046_3.RCP,41852,0,time_limit,91,79
J6046_4.RCP,41819,0,time_limit,84,71
J6046_5.RCP,40572,0,time_limit,98,82
J6046_6.RCP,39542,0,time_limit,98,87
J6046_7.RCP,40987,0,time_limit,91,75
J6046_8.RCP,42184,0,time_limit,84,72
J6046_9.RCP,34001,0,time_limit,74,60
J6047_1.RCP,62,1,search_exhausted,75,75
J6047_10.RCP,40682,0,time_limit,72,66
J6047_2.RCP,13325,1,search_exhausted,66,66
J6047_3.RCP,41913,0,time_limit,70,69
J6047_4.RCP,62,1,search_exhausted,76,76
J6047_5.RCP,39163,0,time_limit,88,87
J6047_6.RCP,62,1,search_exhausted,76,76
J6047_7.RCP,2183,1,search_exhausted,68,68
J6047_8.RCP,41130,0,time_limit,73,71
J6047_9.RCP,1381,1,search_exhausted,76,76
J6048_1.RCP,62,1,search_exhausted,71,71
J6048_10.RCP,62,1,search_exhausted,70,70
J6048_2.RCP,62,1,search_exhausted,87,87
J6048_3.RCP,62,1,search_exhausted,84,84
J6048_4.RCP,62,1,search_exhausted,62,62
J6048_5.RCP,62,1,search_exhausted,101,101
J6048_6.RCP,62,1,search_exhausted,66,66
J6048_7.RCP,62,1,search_exhausted,77,77
J6048_8.RCP,62,1,search_exhausted,88,88
J6048_9.RCP,62,1,search_exhausted,82,82
J604_1.RCP,62,1,search_exhausted,84,84
J604_10.RCP,62,1,search_exhausted,77,77
J604_2.RCP,62,1,search_exhausted,60,60
J604_3.RCP,62,1,search_exhausted,58,58
J604_4.RCP,62,1,search_exhausted,65,65
J604_5.RCP,62,1,search_exhausted,75,75
J604_6.RCP,62,1,search_exhausted,71,71
J604_7.RCP,62,1,search_exhausted,67,67
J604_8.RCP,62,1,search_exhausted,65,65
J604_9.RCP,62,1,search_exhausted,75,75
J605_1.RCP,38850,0,time_limit,98,59
J605_10.RCP,45347,0,time_limit,95,68
J605_2.RCP,53159,0,time_limit,126,76
J605_3.RCP,45175,0,time_limit,101,59
J605_4.RCP,51595,0,time_limit,96,53
J605_5.RCP,45932,0,time_limit,132,79
J605_6.RCP,35279,0,time_limit,89,64
J605_7.RCP,43323,0,time_limit,96,51
J605_8.RCP,42854,0,time_limit,97,65
J605_9.RCP,44648,0,time_limit,98,82
J606_1.RCP,35498,0,time_limit,67,60
J606_10.RCP,30906,0,time_limit,82,74
J606_2.RCP,40601,0,time_limit,69,66
J606_3.RCP,32537,0,time_limit,78,72
J606_4.RCP,44773,0,time_limit,74,67
J606_5.RCP,62,1,search_exhausted,78,78
J606_6.RCP,33680,0,time_limit,68,53
J606_7.RCP,35387,0,time_limit,71,60
J606_8.RCP,35837,0,time_limit,86,72
J606_9.RCP,37122,0,time_limit,76,64
J607_1.RCP,1829,1,search_exhausted,77,77
J607_10.RCP,62,1,search_exhausted,82,82
J607_2.RCP,34630,0,time_limit,88,85
J607_3.RCP,85,1,search_exhausted,62,62
J607_4.RCP,62,1,search_exhausted,63,63
J607_5.RCP,62,1,search_exhausted,71,71
J607_6.RCP,691,1,search_exhausted,65,65
J607_7.RCP,39088,0,time_limit,97,89
J607_8.RCP,62,1,search_exhausted,66,66
J607_9.RCP,35345,0,time_limit,51,44
J608_1.RCP,62,1,search_exhausted,64,64
J608_10.RCP,62,1,search_exhausted,97,97
J608_2.RCP,62,1,search_exhausted,61,61
J608_3.RCP,62,1,search_exhausted,79,79
J608_4.RCP,62,1,search_exhausted,64,64
J608_5.RCP,62,1,search_exhausted,83,83
J608_6.RCP,62,1,search_exhausted,56,56
J608_7.RCP,62,1,search_exhausted,62,62
J608_8.RCP,62,1,search_exhausted,66,66
J608_9.RCP,62,1,search_exhausted,58,58
J609_1.RCP,45106,0,time_limit,102,59
J609_10.RCP,39965,0,time_limit,122,65
J609_2.RCP,41395,0,time_limit,106,71
J609_3.RCP,45308,0,time_limit,125,65
J609_4.RCP,47478,0,time_limit,120,65
J609_5.RCP,47407,0,time_limit,110,52
J609_6.RCP,46405,0,time_limit,140,90
J609_7.RCP,48788,0,time_limit,139,74
J609_8.RCP,45965,0,time_limit,122,65
J609_9.RCP,44039,0,time_limit,128,80
