
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  CPU-Time[sec.]
J3047_9.RCP         65          65       65       0.0%           0.031
J3048_1.RCP         63          63       63       0.0%           0.030
J3048_10.RCP        54          54       54       0.0%           0.031
J3048_2.RCP         54          54       54       0.0%           0.030
J3048_3.RCP         50          50       50       0.0%           0.032
J3048_4.RCP         57          57       57       0.0%           0.030
J3048_5.RCP         58          58       58       0.0%           0.031
J3048_6.RCP         58          58       58       0.0%           0.032
J3048_7.RCP         55          55       55       0.0%           0.030
J3048_8.RCP         44          44       44       0.0%           0.029
J3048_9.RCP         59          59       59       0.0%           0.032
J304_1.RCP          49          49       49       0.0%           0.029
J304_10.RCP         48          48       48       0.0%           0.031
J304_2.RCP          60          60       60       0.0%           0.032
J304_3.RCP          47          47       47       0.0%           0.032
J304_4.RCP          57          57       57       0.0%           0.029
J304_5.RCP          59          59       59       0.0%           0.034
J304_6.RCP          45          45       45       0.0%           0.029
J304_7.RCP          56          56       56       0.0%           0.030
J304_8.RCP          55          55       55       0.0%           0.029
J304_9.RCP          38          38       38       0.0%           0.033
J305_1.RCP          53          41       53       0.0%          60.077
J305_10.RCP         75          56       70       7.1%          60.259
J305_2.RCP          93          56       82      13.4%          60.220
J305_3.RCP          84          54       76      10.5%          60.146
J305_4.RCP          68          43       63       7.9%          60.152
J305_5.RCP          78          58       76       2.6%          60.328
J305_6.RCP          68          47       64       6.2%          60.143
J305_7.RCP          82          43       76       7.9%          60.131
J305_8.RCP          79          53       67      17.9%          60.120
J305_9.RCP          50          38       49       2.0%          60.675
J306_1.RCP          60          54       59       1.7%          60.189
J306_10.RCP         62          58       61       1.6%          60.174
J306_2.RCP          51          50       51       0.0%          60.406
J306_3.RCP          48          45       48       0.0%          60.198
J306_4.RCP          42          36       42       0.0%          60.189
J306_5.RCP          67          57       67       0.0%          60.210
J306_6.RCP          37          35       37       0.0%          60.189
J306_7.RCP          46          43       46       0.0%          60.229
J306_8.RCP          39          39       39       0.0%          21.885
J306_9.RCP          53          48       51       3.9%          60.095
J307_1.RCP          55          55       55       0.0%           0.108
J307_10.RCP         49          43       49       0.0%          60.044
J307_2.RCP          42          42       42       0.0%           0.085
J307_3.RCP          42          42       42       0.0%           7.151
J307_4.RCP          44          44       44       0.0%           0.041
J307_5.RCP          44          41       44       0.0%          60.056
J307_6.RCP          35          35       35       0.0%           0.092
J307_7.RCP          50          50       50       0.0%           6.049
J307_8.RCP          44          44       44       0.0%          24.856
J307_9.RCP          60          60       60       0.0%          44.757
J308_1.RCP          44          44       44       0.0%           0.069
J308_10.RCP         67          67       67       0.0%           0.031
J308_2.RCP          51          51       51       0.0%           0.032
J308_3.RCP          53          53       53       0.0%           0.035
J308_4.RCP          48          48       48       0.0%           0.032
J308_5.RCP          58          58       58       0.0%           0.032
J308_6.RCP          47          47       47       0.0%           0.034
J308_7.RCP          41          41       41       0.0%           0.033
J308_8.RCP          51          51       51       0.0%           0.034
J308_9.RCP          39          39       39       0.0%           0.035
J309_1.RCP          87          55       83       4.8%          60.067
J309_10.RCP         91          63       88       3.4%          60.174
J309_2.RCP         107          45       92      16.3%          60.179
J309_3.RCP          80          48       68      17.6%          60.246
J309_4.RCP          74          52       71       4.2%          60.275
J309_5.RCP          70          53       70       0.0%          60.162
J309_6.RCP          66          47       59      11.9%          60.171
J309_7.RCP          65          41       63       3.2%          60.195
J309_8.RCP          93          54       91       2.2%          60.176
J309_9.RCP          74          37       63      17.5%          60.185

Average Summary
Instance  Makespan  Lowerbound  Optimal  GapOpt[%]  CPU-Time[sec.]
------------------------------------------------------------------
Average     60.223      53.071   58.992     1.661%          25.167

Comparison Summary
Instances total: 480
Solved: 354/480 (73.8%)
Mean gap to optimal: 1.66%
Note: branching order used = policy
Note: branching scheme used = serial
Note: search strategy used = ubs

Note: lower bound used = lb_cp
Note: dominance used = set_based
Note: optimal baseline JSON used = data/baseline/j30_opt.json
