
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  CPU-Time[sec.]
J3040_7.RCP         46          46       46       0.0%           0.028
J3040_8.RCP         57          57       57       0.0%           0.032
J3040_9.RCP         64          64       64       0.0%           0.032
J3041_1.RCP        107          50       86      24.4%           1.001
J3041_10.RCP       135          59       99      36.4%           1.002
J3041_2.RCP        102          49       89      14.6%           1.002
J3041_3.RCP        107          59       85      25.9%           1.003
J3041_4.RCP         94          47       78      20.5%           1.002
J3041_5.RCP        119          63       99      20.2%           1.002
J3041_6.RCP        112          65      103       8.7%           1.001
J3041_7.RCP        122          56       92      32.6%           1.003
J3041_8.RCP         97          55       88      10.2%           1.002
J3041_9.RCP        105          69       92      14.1%           1.004
J3042_1.RCP         58          58       58       0.0%           0.893
J3042_10.RCP        75          75       75       0.0%           0.151
J3042_2.RCP         52          47       50       4.0%           1.002
J3042_3.RCP         63          54       60       5.0%           1.003
J3042_4.RCP         54          42       49      10.2%           1.002
J3042_5.RCP         54          52       52       3.8%           1.002
J3042_6.RCP         72          58       66       9.1%           1.002
J3042_7.RCP         74          65       66      12.1%           1.003
J3042_8.RCP         86          67       82       4.9%           1.002
J3042_9.RCP         64          59       60       6.7%           1.002
J3043_1.RCP         56          53       55       1.8%           1.002
J3043_10.RCP        60          59       60       0.0%           1.002
J3043_2.RCP         45          43       43       4.7%           1.002
J3043_3.RCP         62          55       57       8.8%           1.002
J3043_4.RCP         67          67       67       0.0%           0.113
J3043_5.RCP         68          62       64       6.2%           1.002
J3043_6.RCP         62          56       58       6.9%           1.002
J3043_7.RCP         52          52       52       0.0%           0.228
J3043_8.RCP         66          62       62       6.5%           1.002
J3043_9.RCP         57          56       57       0.0%           1.001
J3044_1.RCP         50          50       50       0.0%           0.029
J3044_10.RCP        63          63       63       0.0%           0.033
J3044_2.RCP         54          54       54       0.0%           0.038
J3044_3.RCP         51          51       51       0.0%           0.029
J3044_4.RCP         57          57       57       0.0%           0.028
J3044_5.RCP         55          55       55       0.0%           0.032
