
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  NodeCount  CPU-Time[sec.]
J3031_6.RCP         53          53       53       0.0%         32           0.206
J3031_7.RCP         61          61       61       0.0%       1086           5.546
J3031_8.RCP         58          58       58       0.0%         32           0.165
J3031_9.RCP         51          46       50       2.0%      13937          60.057
J3032_1.RCP         61          61       61       0.0%         32           0.202
J3032_10.RCP        51          51       51       0.0%         32           0.167
J3032_2.RCP         60          60       60       0.0%         32           0.158
J3032_3.RCP         57          57       57       0.0%         32           0.144
J3032_4.RCP         68          68       68       0.0%         32           0.143
J3032_5.RCP         54          54       54       0.0%         32           0.145
J3032_6.RCP         44          44       44       0.0%         32           0.139
J3032_7.RCP         35          35       35       0.0%         32           0.145
J3032_8.RCP         54          54       54       0.0%         32           0.147
J3032_9.RCP         65          65       65       0.0%         32           0.136
J3033_1.RCP         65          65       65       0.0%       2919          11.447
J3033_10.RCP        53          53       53       0.0%        265           1.015
J3033_2.RCP         60          60       60       0.0%       5208          21.602
J3033_3.RCP         55          42       55       0.0%      13151          60.050
J3033_4.RCP         77          77       77       0.0%       5325          22.911
J3033_5.RCP         53          53       53       0.0%      10813          46.640
J3033_6.RCP         59          59       59       0.0%        499           2.201
J3033_7.RCP         58          58       58       0.0%         43           0.176
J3033_8.RCP         61          61       61       0.0%      13943          59.104
J3033_9.RCP         67          55       65       3.1%      13138          60.076
J3034_1.RCP         68          68       68       0.0%       5932          27.157
J3034_10.RCP        47          47       47       0.0%         52           0.222
J3034_2.RCP         44          44       44       0.0%        456           1.858
J3034_3.RCP         69          69       69       0.0%        658           2.544
J3034_4.RCP         67          67       67       0.0%         32           0.131
J3034_5.RCP         63          63       63       0.0%       3305          13.487
J3034_6.RCP         52          52       52       0.0%       1803           7.060
J3034_7.RCP         58          58       58       0.0%       6150          25.379
J3034_8.RCP         58          58       58       0.0%       3481          14.238
J3034_9.RCP         60          60       60       0.0%         40           0.165
J3035_1.RCP         57          57       57       0.0%         32           0.130
J3035_10.RCP        59          59       59       0.0%       1737           6.771
J3035_2.RCP         53          53       53       0.0%         32           0.136
J3035_3.RCP         60          60       60       0.0%         66           0.265
J3035_4.RCP         50          50       50       0.0%       3021          12.294
J3035_5.RCP         60          60       60       0.0%        129           0.515
J3035_6.RCP         58          58       58       0.0%        360           1.368
J3035_7.RCP         61          61       61       0.0%        141           0.517
J3035_8.RCP         63          63       63       0.0%         32           0.134
J3035_9.RCP         59          59       59       0.0%        824           3.273
J3036_1.RCP         66          66       66       0.0%         32           0.133
J3036_10.RCP        59          59       59       0.0%         32           0.133
