
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  CPU-Time[sec.]
J3037_9.RCP         57          46       57       0.0%          60.238
J3038_1.RCP         48          48       48       0.0%           2.661
J3038_10.RCP        60          60       60       0.0%           2.770
J3038_2.RCP         54          54       54       0.0%          37.901
J3038_3.RCP         59          59       59       0.0%          16.227
J3038_4.RCP         59          59       59       0.0%           1.020
J3038_5.RCP         71          71       71       0.0%          50.129
J3038_6.RCP         63          63       63       0.0%          10.605
J3038_7.RCP         65          65       65       0.0%          34.244
J3038_8.RCP         61          61       61       0.0%           8.332
J3038_9.RCP         63          63       63       0.0%          11.117
J3039_1.RCP         55          55       55       0.0%           0.121
J3039_10.RCP        60          60       60       0.0%           2.967
J3039_2.RCP         54          54       54       0.0%           0.036
J3039_3.RCP         54          54       54       0.0%           1.152
J3039_4.RCP         53          53       53       0.0%           0.312
J3039_5.RCP         55          55       55       0.0%           0.789
J3039_6.RCP         69          69       69       0.0%           0.080
J3039_7.RCP         56          56       56       0.0%           9.630
J3039_8.RCP         67          67       67       0.0%           0.041
J3039_9.RCP         64          64       64       0.0%           4.384
J303_1.RCP          72          72       72       0.0%           0.306
J303_10.RCP         59          59       59       0.0%          32.030
J303_2.RCP          40          39       40       0.0%          60.159
J303_3.RCP          57          57       57       0.0%           0.146
J303_4.RCP          98          98       98       0.0%           0.043
J303_5.RCP          53          46       53       0.0%          60.024
J303_6.RCP          54          54       54       0.0%           2.572
J303_7.RCP          48          48       48       0.0%           0.044
J303_8.RCP          54          54       54       0.0%           0.033
J303_9.RCP          65          60       65       0.0%          60.030
J3040_1.RCP         51          51       51       0.0%           0.065
J3040_10.RCP        51          51       51       0.0%           0.029
J3040_2.RCP         56          56       56       0.0%           0.033
J3040_3.RCP         57          57       57       0.0%           0.031
J3040_4.RCP         57          57       57       0.0%           0.033
J3040_5.RCP         65          65       65       0.0%           0.033
J3040_6.RCP         60          60       60       0.0%           0.028
J3040_7.RCP         46          46       46       0.0%           0.029
J3040_8.RCP         57          57       57       0.0%           0.043
J3040_9.RCP         64          64       64       0.0%           0.034
J3041_1.RCP        101          50       86      17.4%          60.031
J3041_10.RCP       121          59       99      22.2%          60.236
J3041_2.RCP         99          49       89      11.2%          60.197
J3041_3.RCP        101          59       85      18.8%          60.118
J3041_4.RCP         93          47       78      19.2%          60.273
J3041_5.RCP        115          63       99      16.2%          60.199
J3041_6.RCP        108          65      103       4.9%          60.218
J3041_7.RCP        112          56       92      21.7%          60.260
J3041_8.RCP         91          55       88       3.4%          60.185
J3041_9.RCP        101          69       92       9.8%          60.068
J3042_1.RCP         58          58       58       0.0%           0.898
J3042_10.RCP        75          75       75       0.0%           0.146
J3042_2.RCP         51          47       50       2.0%          60.063
J3042_3.RCP         60          54       60       0.0%          60.229
J3042_4.RCP         51          42       49       4.1%          60.100
J3042_5.RCP         52          52       52       0.0%           1.162
J3042_6.RCP         66          66       66       0.0%          16.280
J3042_7.RCP         66          65       66       0.0%          60.044
J3042_8.RCP         82          67       82       0.0%          60.093
J3042_9.RCP         61          59       60       1.7%          60.182
J3043_1.RCP         56          53       55       1.8%          60.276
J3043_10.RCP        60          60       60       0.0%           2.873
J3043_2.RCP         43          43       43       0.0%           2.815
J3043_3.RCP         57          57       57       0.0%          15.235
J3043_4.RCP         67          67       67       0.0%           0.121
J3043_5.RCP         64          62       64       0.0%          60.035
J3043_6.RCP         58          58       58       0.0%          14.011
J3043_7.RCP         52          52       52       0.0%           0.203
J3043_8.RCP         62          62       62       0.0%           6.633
J3043_9.RCP         57          57       57       0.0%           4.214
J3044_1.RCP         50          50       50       0.0%           0.031
J3044_10.RCP        63          63       63       0.0%           0.032
J3044_2.RCP         54          54       54       0.0%           0.036
J3044_3.RCP         51          51       51       0.0%           0.028
J3044_4.RCP         57          57       57       0.0%           0.027
J3044_5.RCP         55          55       55       0.0%           0.031
J3044_6.RCP         56          56       56       0.0%           0.024
J3044_7.RCP         42          42       42       0.0%           0.025
J3044_8.RCP         49          49       49       0.0%           0.025
J3044_9.RCP         64          64       64       0.0%           0.025
J3045_1.RCP         96          53       82      17.1%          60.033
J3045_10.RCP       104          58       90      15.6%          60.092
J3045_2.RCP        139          63      125      11.2%          60.092
J3045_3.RCP        106          57       92      15.2%          60.094
J3045_4.RCP         88          59       84       4.8%          60.087
J3045_5.RCP         98          58       86      14.0%          60.095
J3045_6.RCP        154          70      129      19.4%          60.119
J3045_7.RCP        107          72      101       5.9%          60.226
J3045_8.RCP         95          65       94       1.1%          60.088
J3045_9.RCP         95          50       82      15.9%          60.196
J3046_1.RCP         60          58       59       1.7%          60.087
J3046_10.RCP        59          46       55       7.3%          60.226
