
Instance      Makespan  Lowerbound  Optimal  GapOpt[%]  NodeCount  CPU-Time[sec.]
J3036_7.RCP         56          56       56       0.0%         32           0.143
J3036_8.RCP         63          63       63       0.0%         32           0.141
J3036_9.RCP         59          59       59       0.0%         32           0.155
J3037_1.RCP         80          46       79       1.3%      13223          60.029
J3037_10.RCP        86          60       81       6.2%      14064          60.052
J3037_2.RCP         78          49       69      13.0%      13717          60.058
J3037_3.RCP         89          52       81       9.9%      13460          60.096
J3037_4.RCP         85          62       83       2.4%      13059          60.092
J3037_5.RCP         82          59       80       2.5%      14077          60.070
J3037_6.RCP         73          50       73       0.0%      13481          60.078
J3037_7.RCP         98          54       92       6.5%      13509          60.067
J3037_8.RCP         83          57       72      15.3%      13710          60.073
J3037_9.RCP         58          46       57       1.8%      14608          60.083
J3038_1.RCP         48          48       48       0.0%       2346           9.394
J3038_10.RCP        60          60       60       0.0%       2469          10.146
J3038_2.RCP         54          50       54       0.0%      13805          60.066
J3038_3.RCP         59          59       59       0.0%      10882          45.261
J3038_4.RCP         59          59       59       0.0%        857           3.328
J3038_5.RCP         71          62       71       0.0%      14863          60.038
J3038_6.RCP         63          63       63       0.0%       5293          21.282
J3038_7.RCP         65          65       65       0.0%      13844          58.500
J3038_8.RCP         61          61       61       0.0%      10933          43.348
J3038_9.RCP         63          63       63       0.0%       7822          31.741
J3039_1.RCP         55          55       55       0.0%         64           0.267
J3039_10.RCP        60          60       60       0.0%       4346          18.819
J3039_2.RCP         54          54       54       0.0%         32           0.150
J3039_3.RCP         54          54       54       0.0%       1134           5.238
J3039_4.RCP         53          53       53       0.0%        176           0.805
J3039_5.RCP         55          55       55       0.0%         32           0.141
J3039_6.RCP         69          69       69       0.0%         97           0.437
J3039_7.RCP         56          49       56       0.0%      13268          60.019
J3039_8.RCP         67          67       67       0.0%         77           0.375
J3039_9.RCP         64          64       64       0.0%       4618          19.485
J303_1.RCP          72          72       72       0.0%         32           0.131
J303_10.RCP         59          57       59       0.0%      14639          60.031
J303_2.RCP          40          39       40       0.0%      13249          60.062
J303_3.RCP          57          57       57       0.0%         32           0.178
J303_4.RCP          98          98       98       0.0%         59           0.238
J303_5.RCP          62          46       53      17.0%      12598          60.023
J303_6.RCP          54          54       54       0.0%       1039           4.940
J303_7.RCP          48          48       48       0.0%         32           0.174
J303_8.RCP          54          54       54       0.0%         76           0.337
J303_9.RCP          65          60       65       0.0%      13821          60.023
J3040_1.RCP         51          51       51       0.0%         32           0.157
J3040_10.RCP        51          51       51       0.0%         32           0.128
J3040_2.RCP         56          56       56       0.0%         32           0.130
